frame,video_time_s,run_elapsed_s,position_raw_percent,position_clamped_percent,position_smooth_percent,marker_progress
0,0.0,34.7994344042838,-0.06187513222935991,0,0.0,"{""10"": -0.0007163995482472681, ""11"": -0.0005211030963399301}"
1,0.2,34.999434404283804,-0.02995717573726329,0,0.0,"{""10"": -0.0002287586437031381, ""11"": -0.00037038487104212777}"
2,0.4,35.1994344042838,-0.04525116489754798,0,0.0,"{""10"": -0.0006139187321332212, ""11"": -0.0002911045658177383}"
3,0.6,35.3994344042838,-0.04358992755351354,0,0.0,"{""10"": -0.0003522090442706571, ""11"": -0.0005195895067996138}"
4,0.8,35.5994344042838,-0.0315160728058704,0,0.0,"{""10"": -0.0004758948631410391, ""11"": -0.00015442659297636887}"
5,1.0,35.7994344042838,-0.017866655219509343,0,0.0,"{""10"": -0.0004314138551539604, ""11"": 7.408075076377353e-05}"
6,1.2,35.999434404283804,-0.04876115322696941,0,0.0,"{""10"": -0.0005795935559949859, ""11"": -0.00039562950854440227}"
7,1.4,36.1994344042838,-0.044799614907586965,0,0.0,"{""10"": -0.0005524324660407944, ""11"": -0.0003435598321109448}"
8,1.6,36.3994344042838,-0.04099807171356137,0,0.0,"{""10"": -0.0005185081653071963, ""11"": -0.00030145326896403104}"
9,1.8,36.5994344042838,-0.009653064624904884,0,0.0,"{""10"": -0.0002101655628219902, ""11"": 1.7104270323892527e-05}"
10,2.0,36.7994344042838,-0.06461577396312879,0,0.0,"{""10"": -0.0007094391711815334, ""11"": -0.0005828763080810424}"
11,2.2,36.999434404283804,-0.03740251807174568,0,0.0,"{""10"": -0.00040591639435645605, ""11"": -0.00034213396707845757}"
12,2.4,37.1994344042838,-0.015427109487798407,0,0.0,"{""10"": -0.00016225610587721108, ""11"": -0.00014628608387875705}"
13,2.6,37.3994344042838,-0.03187663472892,0,0.0,"{""10"": -0.00038200563710770317, ""11"": -0.00025552705747069684}"
14,2.8,37.5994344042838,-0.08317471784820396,0,0.0,"{""10"": -0.000802424698684707, ""11"": -0.0008610696582793722}"
15,3.0,37.7994344042838,-0.04697864523762493,0,0.0,"{""10"": -0.00045087297630483754, ""11"": -0.0004886999284476612}"
16,3.2,37.999434404283804,-0.04646513688598279,0,0.0,"{""10"": -0.0004958783593538983, ""11"": -0.00043342437836575763}"
17,3.4,38.1994344042838,-0.02628637712891357,0,0.0,"{""10"": -0.0003003514733948503, ""11"": -0.00022537606918342107}"
18,3.6,38.3994344042838,-0.03127962810070628,0,0.0,"{""10"": -0.00020523334698128036, ""11"": -0.00042035921503284524}"
19,3.8,38.5994344042838,0.0028170016811458914,0.0028170016811458914,0.0,"{""10"": 0.00011008493786114705, ""11"": -5.3744904238229214e-05}"
20,4.0,38.7994344042838,0.006567567722448964,0.006567567722448964,0.0,"{""10"": 0.00010995934030355275, ""11"": 2.1392014145426544e-05}"
21,4.2,38.999434404283804,-0.018920165595242334,0,0.0,"{""10"": -6.221669455341869e-05, ""11"": -0.000316186617351428}"
22,4.4,39.1994344042838,-0.03405213229855246,0,0.0,"{""10"": -0.0004595600218754297, ""11"": -0.00022148262409561954}"
23,4.6,39.3994344042838,-0.02965123950282421,0,0.0,"{""10"": -0.0003240790438577747, ""11"": -0.0002689457461987094}"
24,4.8,39.5994344042838,-0.03633304983047806,0,0.0,"{""10"": -0.00038011291706964326, ""11"": -0.0003465480795399179}"
25,5.0,39.7994344042838,-0.01108870239630977,0,0.0,"{""10"": -0.00032927526297069374, ""11"": 0.00010750121504449835}"
26,5.2,39.999434404283804,-0.008841090755502752,0,0.0,"{""10"": -0.0001413619792199032, ""11"": -3.545983589015186e-05}"
27,5.4,40.1994344042838,0.21418685077320546,0.21418685077320546,0.21418685077320546,"{""10"": 0.002305940678932555, ""11"": 0.0019777963365315543}"
28,5.6,40.3994344042838,0.3539683553589334,0.3539683553589334,0.3539683553589334,"{""10"": 0.003552804427131894, ""11"": 0.0035265626800467737}"
29,5.8,40.5994344042838,0.522174275656142,0.522174275656142,0.522174275656142,"{""10"": 0.005378957266602304, ""11"": 0.005064528246520536}"
30,6.0,40.7994344042838,0.8246237268410719,0.8246237268410719,0.8246237268410719,"{""10"": 0.00828683187149737, ""11"": 0.008205642665324068}"
31,6.2,40.999434404283804,1.0898683844267074,1.0898683844267074,1.0898683844267074,"{""10"": 0.011155692986227992, ""11"": 0.010641674702306156}"
32,6.4,41.1994344042838,1.7831949859578569,1.7831949859578569,1.7831949859578569,"{""10"": 0.01799997669622227, ""11"": 0.017663923022934867}"
33,6.6,41.3994344042838,1.8057259141980864,1.8057259141980864,1.8057259141980864,"{""10"": 0.018163844059196823, ""11"": 0.017950674224764904}"
34,6.8,41.5994344042838,2.647230153742667,2.647230153742667,2.647230153742667,"{""10"": 0.027025646646093044, ""11"": 0.025918956428760298}"
35,7.0,41.7994344042838,3.761020890853713,3.761020890853713,3.761020890853713,"{""10"": 0.03823293389204317, ""11"": 0.03698748392503108}"
36,7.2,41.999434404283804,5.397131115817786,5.397131115817786,5.397131115817786,"{""10"": 0.05472665356487548, ""11"": 0.05321596875148025}"
37,7.4,42.1994344042838,6.94476248485856,6.94476248485856,6.94476248485856,"{""10"": 0.07037836798767998, ""11"": 0.06851688170949122}"
38,7.6,42.3994344042838,8.627448637852936,8.627448637852936,8.627448637852936,"{""10"": 0.08713169450280016, ""11"": 0.08541727825425856}"
39,7.8,42.5994344042838,10.152197092763524,10.152197092763524,10.152197092763524,"{""10"": 0.10242621817684504, ""11"": 0.10061772367842542}"
40,8.0,42.7994344042838,12.144914223153625,12.144914223153625,12.144914223153625,"{""10"": 0.12260302237854, ""11"": 0.12029526208453252}"
41,8.2,42.999434404283804,13.938132416151777,13.938132416151777,13.938132416151777,"{""10"": 0.14059048825129053, ""11"": 0.138172160071745}"
42,8.4,43.1994344042838,15.677543893127627,15.677543893127627,15.677543893127627,"{""10"": 0.1580271394853509, ""11"": 0.15552373837720163}"
43,8.6,43.3994344042838,17.406277818702865,17.406277818702865,17.406277818702865,"{""10"": 0.17545436555048466, ""11"": 0.1726711908235726}"
44,8.8,43.5994344042838,19.19506690809529,19.19506690809529,19.19506690809529,"{""10"": 0.19340272069248712, ""11"": 0.1904986174694186}"
45,9.0,43.7994344042838,20.950038520077392,20.950038520077392,20.950038520077392,"{""10"": 0.21106926791359723, ""11"": 0.2079315024879506}"
46,9.2,43.999434404283804,22.737330090790874,22.737330090790874,22.737330090790874,"{""10"": 0.2291681037476887, ""11"": 0.2255784980681288}"
47,9.4,44.1994344042838,24.582962304312733,24.582962304312733,24.582962304312733,"{""10"": 0.2475778467753169, ""11"": 0.24408139931093778}"
48,9.6,44.3994344042838,26.519164443440623,26.519164443440623,26.519164443440623,"{""10"": 0.2669932608437416, ""11"": 0.2633900280250709}"
49,9.8,44.5994344042838,28.51769011506269,28.51769011506269,28.51769011506269,"{""10"": 0.28690196227418513, ""11"": 0.2834518400270686}"
50,10.0,44.7994344042838,30.67746498490451,30.67746498490451,30.67746498490451,"{""10"": 0.30856248889556853, ""11"": 0.3049868108025217}"
51,10.2,44.999434404283804,32.76643443632189,32.76643443632189,32.76643443632189,"{""10"": 0.3296269019112096, ""11"": 0.3257017868152282}"
52,10.4,45.1994344042838,33.73074125795776,33.73074125795776,33.25368719554406,"{""10"": 0.3389685088060953, ""11"": 0.33564631635305986}"
53,10.6,45.3994344042838,33.25368719554406,33.25368719554406,33.27968305054383,"{""10"": 0.3342171778429967, ""11"": 0.3308565660678844}"
