run_elapsed_s,video_time_s,label,event_data,measured_position_percent
45.21276700031012,10.413332596026322,target_position_reached,"{""cover_position"": 25.0, ""elapsed_s"": 5.794145749881864, ""index"": 0, ""step"": {""action"": ""target"", ""label"": ""target_25_from_closed"", ""target_position"": 25.0, ""target_state"": ""Position""}, ""target_position"": 25.0, ""tolerance_percent"": 3.0}",33.25542015670941
57.247736083343625,22.448301679059824,target_state_reached,"{""index"": 1, ""target_state"": ""Closed""}",0.23319414618290868
66.49605466704816,31.696620262764355,target_position_reached,"{""cover_position"": 50.0, ""elapsed_s"": 8.141387125011533, ""index"": 2, ""step"": {""action"": ""target"", ""label"": ""target_50_from_closed"", ""target_position"": 50.0, ""target_state"": ""Position""}, ""target_position"": 50.0, ""tolerance_percent"": 3.0}",60.350590764014115
83.58986483328044,48.79043042899664,target_state_reached,"{""index"": 3, ""target_state"": ""Closed""}",0.19657111130062227
95.31733095832169,60.51789655403789,target_position_reached,"{""cover_position"": 75.0, ""elapsed_s"": 10.65254204114899, ""index"": 4, ""step"": {""action"": ""target"", ""label"": ""target_75_from_closed"", ""target_position"": 75.0, ""target_state"": ""Position""}, ""target_position"": 75.0, ""tolerance_percent"": 3.0}",49.81555462783125
110.60213604243472,75.80270163815092,target_state_reached,"{""index"": 5, ""target_state"": ""Closed""}",0.426141687776752
132.2341451253742,97.4347107210904,target_state_reached,"{""index"": 6, ""target_state"": ""Open""}",99.99371865222618
139.62999100005254,104.83055659576874,target_position_reached,"{""cover_position"": 75.0, ""elapsed_s"": 6.286555165890604, ""index"": 7, ""step"": {""action"": ""target"", ""label"": ""target_75_from_open"", ""target_position"": 75.0, ""target_state"": ""Position""}, ""target_position"": 75.0, ""tolerance_percent"": 3.0}",67.67232199791455
148.85176712507382,114.05233272079002,target_state_reached,"{""index"": 8, ""target_state"": ""Open""}",99.87576852133576
160.5874303751625,125.78799597087871,target_position_reached,"{""cover_position"": 50.0, ""elapsed_s"": 10.606731458101422, ""index"": 9, ""step"": {""action"": ""target"", ""label"": ""target_50_from_open"", ""target_position"": 50.0, ""target_state"": ""Position""}, ""target_position"": 50.0, ""tolerance_percent"": 3.0}",41.84214381215447
174.159995125141,139.3605607208572,target_state_reached,"{""index"": 10, ""target_state"": ""Open""}",100.0
190.27500766701996,155.47557326273616,target_position_reached,"{""cover_position"": 25.0, ""elapsed_s"": 15.02012479212135, ""index"": 11, ""step"": {""action"": ""target"", ""label"": ""target_25_from_open"", ""target_position"": 25.0, ""target_state"": ""Position""}, ""target_position"": 25.0, ""tolerance_percent"": 3.0}",
